Price on site,Sale/Rent,Rent type,Min price,Max price,Zip code,Site
"$1,199/mo",Rent,Monthly,1199,1199,84121,Trulia
"$1,350/mo",Rent,Monthly,1350,1350,84121,Trulia
"$1,995/mo",Rent,Monthly,1995,1995,84121,Trulia
"$1,350/mo",Rent,Monthly,1350,1350,84121,Trulia
"$1,200/mo",Rent,Monthly,1200,1200,84121,Trulia
"$1,850/mo",Rent,Monthly,1850,1850,59601,Trulia
$850/mo,Rent,Monthly,850,850,59601,Trulia
$750/mo,Rent,Monthly,750,750,59601,Trulia
"$1,000/mo",Rent,Monthly,1000,1000,59601,Trulia
"$1,700/mo",Rent,Monthly,1700,1700,59601,Trulia
"$1,495/mo",Rent,Monthly,1495,1495,59601,Trulia
"$1,450/mo",Rent,Monthly,1450,1450,59601,Trulia
"$1,000/mo",Rent,Monthly,1000,1000,59601,Trulia
"$1,025/mo",Rent,Monthly,1025,1025,59601,Trulia
$750/mo,Rent,Monthly,750,750,59601,Trulia
"$2,195/mo",Rent,Monthly,2195,2195,99324,Trulia
"$1,065/mo",Rent,Monthly,1065,1065,99324,Trulia
"$1,095/mo",Rent,Monthly,1095,1095,99324,Trulia
"$1,450/mo",Rent,Monthly,1450,1450,99324,Trulia
"$1,025/mo",Rent,Monthly,1025,1025,99324,Trulia
$995/mo,Rent,Monthly,995,995,99324,Trulia
$925 - $945/mo,Rent,Monthly,925,945,99324,Trulia
$895/mo,Rent,Monthly,895,895,99324,Trulia
"$1,695/mo",Rent,Monthly,1695,1695,99324,Trulia
"$1,295/mo",Rent,Monthly,1295,1295,99324,Trulia
"$1,695/mo",Rent,Monthly,1695,1695,98902,Trulia
"$1,500/mo",Rent,Monthly,1500,1500,98902,Trulia
$725/mo,Rent,Monthly,725,725,98902,Trulia
"$1,950/mo",Rent,Monthly,1950,1950,98902,Trulia
"$1,050/mo",Rent,Monthly,1050,1050,98902,Trulia
"$1,695/mo",Rent,Monthly,1695,1695,98902,Trulia
"$1,475/mo",Rent,Monthly,1475,1475,98902,Trulia
"$1,650/mo",Rent,Monthly,1650,1650,98902,Trulia
"$1,300/mo",Rent,Monthly,1300,1300,98902,Trulia
$525/mo,Rent,Monthly,525,525,98902,Trulia
$500 - $550/mo,Rent,Monthly,500,550,51501,Trulia
$799/mo,Rent,Monthly,799,799,51501,Trulia
"$904 - $1,027/mo",Rent,Monthly,904,1027,51501,Trulia
"$990 - $1,750/mo",Rent,Monthly,990,1750,51501,Trulia
"$840 - $1,515/mo",Rent,Monthly,840,1515,51501,Trulia
"$2,400+ /month",Rent,Monthly,2400,,10005,Realtor
"$2,170+ /month",Rent,Monthly,2170,,10005,Realtor
"$2,573+ /month",Rent,Monthly,2573,,10005,Realtor
"$2,848+ /month",Rent,Monthly,2848,,10005,Realtor
"$5,500 /month",Rent,Monthly,5500,5500,10005,Realtor
"$3,200 /month",Rent,Monthly,3200,3200,10005,Realtor
"$4,500 /month",Rent,Monthly,4500,4500,10005,Realtor
"$7,195 /month",Rent,Monthly,7195,7195,10005,Realtor
"$11,700 /month",Rent,Monthly,11700,11700,10005,Realtor
"$3,200 /month",Rent,Monthly,3200,3200,10005,Realtor
"$4,950 /month",Rent,Monthly,4950,4950,10005,Realtor
"$2,750 /month",Rent,Monthly,2750,2750,10005,Realtor
"$2,700 /month",Rent,Monthly,2700,2700,10005,Realtor
"$6,738 /month",Rent,Monthly,6738,6738,10005,Realtor
"$3,695 /month",Rent,Monthly,3695,3695,10005,Realtor
"$3,595 /month",Rent,Monthly,3595,3595,10005,Realtor
"$3,557 /month",Rent,Monthly,3557,3557,10005,Realtor
"$4,299 /month",Rent,Monthly,4299,4299,10005,Realtor
"$4,162 /month",Rent,Monthly,4162,4162,10005,Realtor
"$2,870 /month",Rent,Monthly,2870,2870,10005,Realtor
"$3,095 /month",Rent,Monthly,3095,3095,10005,Realtor
"$7,500 /month",Rent,Monthly,7500,7500,10005,Realtor
"$8,500 /month",Rent,Monthly,8500,8500,10005,Realtor
"$4,700 /month",Rent,Monthly,4700,4700,10005,Realtor
"$7,950 /month",Rent,Monthly,7950,7950,10005,Realtor
"$3,000 /month",Rent,Monthly,3000,3000,10005,Realtor
"$3,995 /month",Rent,Monthly,3995,3995,10005,Realtor
"$2,824 /month",Rent,Monthly,2824,2824,10005,Realtor
"$7,995 /month",Rent,Monthly,7995,7995,10005,Realtor
"$4,000 /month",Rent,Monthly,4000,4000,10005,Realtor
"$4,125 /month",Rent,Monthly,4125,4125,10005,Realtor
"$5,454 /month",Rent,Monthly,5454,5454,10005,Realtor
"$4,800 /month",Rent,Monthly,4800,4800,10005,Realtor
"$4,263 /month",Rent,Monthly,4263,4263,10005,Realtor
"$3,392 /month",Rent,Monthly,3392,3392,10005,Realtor
