Price on site,Sale/Rent,Min price,Max price,Zip code,Site
"$789,000",Sale,789000,789000,95503,Zillow
"$1,800,000",Sale,1800000,1800000,95503,Zillow
"Est. $1,846,725",Sale,1846725,1846725,90028,Zillow
"$211,810",Sale,211810,211810,95503,Zillow
"Est. $1,251,730",Sale,1251730,1251730,90028,Zillow
"Est. $1,637,962",Sale,1637962,1637962,90274,Zillow
"Est. $5,830,893",Sale,5830893,5830893,90274,Zillow
"$27,000",Sale,27000,27000,95503,Zillow
-,Sale,0,0,99685,Zillow
"$1,595,000",Sale,1595000,1595000,90250,Zillow
"$999,000",Sale,999000,999000,90250,Zillow
"$811,065",Sale,811065,811065,90250,Zillow
"$2,129,000",Sale,2129000,2129000,90274,Zillow
"Est. $73,822",Sale,73822,73822,62702,Zillow
"Est. $108,178",Sale,108178,108178,62702,Zillow
"Est. $85,442",Sale,85442,85442,62702,Zillow
"Est. $112,889",Sale,112889,112889,62702,Zillow
"$5,950,000",Sale,5950000,5950000,90274,Zillow
"$3,585,000+",Sale,3585000,,90274,Zillow
"$2,875,000+",Sale,2875000,,90274,Zillow
"$19,500,000",Sale,19500000,19500000,90274,Zillow
"$4,310,000+",Sale,4310000,,90274,Zillow
"$387,756",Sale,387756,387756,90274,Zillow
-,Sale,0,0,90274,Zillow
"$3,784,995+",Sale,3784995,,90274,Zillow
"$14,000,000",Sale,14000000,14000000,90291,Zillow
"$10,750,000",Sale,10750000,10750000,90291,Zillow
"$3,118,000",Sale,3118000,3118000,90291,Zillow
"$1,999,999",Sale,1999999,1999999,90291,Zillow
"$2,370,755",Sale,2370755,2370755,90291,Zillow
"$68,000",Sale,68000,68000,00741,Zillow
"$189,900",Sale,189900,189900,00775,Zillow
"$55,000",Sale,55000,55000,96777,Zillow
"$120,000",Sale,120000,120000,96777,Zillow
"$1,975,000",Sale,1975000,1975000,94502,Zillow
-,Sale,0,0,94502,Zillow
"$749,000",Sale,749000,749000,94577,Zillow
"$659,000",Sale,659000,659000,94577,Zillow
"$687,112",Sale,687112,687112,94577,Zillow
"$70,000",Sale,70000,70000,66441,Zillow
"$98,000",Sale,98000,98000,66441,Zillow
"$29,900",Sale,29900,29900,66441,Zillow
"$14,900",Sale,14900,14900,66441,Zillow
"$1,775,000",Sale,1775000,1775000,66441,Zillow
"$91,444",Sale,91444,91444,66441,Zillow
"$4,000",Sale,4000,4000,66441,Zillow
"$104,721",Sale,104721,104721,62702,Zillow
"$1,195,000",Sale,1195000,1195000,49684,Zillow
"$399,000",Sale,399000,399000,33470,Zillow
"$549,900",Sale,549900,549900,60612,Zillow
"$1,150,000",Sale,1150000,1150000,60612,Zillow
"$1,199,500",Sale,1199500,1199500,60612,Zillow
"$299,900",Sale,299900,299900,60612,Zillow
"$1,450,000",Sale,1450000,1450000,60612,Zillow
"$380,000",Sale,380000,380000,60612,Zillow
"$749,000",Sale,749000,749000,60612,Zillow
"$480,000",Sale,480000,480000,60612,Zillow
"$2,395,000",Sale,2395000,2395000,60612,Zillow
"$549,000",Sale,549000,549000,60612,Zillow
"$996,904",Sale,996904,996904,60612,Zillow
"$398,080",Sale,398080,398080,60612,Zillow
